Date,SI=F,SLV,Silver
2019-04-10,15.201000213623047,14.279999732971193,15.215
2019-04-11,14.824000358581545,14.020000457763672,14.965
2019-04-12,14.920000076293945,14.050000190734865,14.975
2019-04-15,14.947999954223633,14.0600004196167,15.005
2019-04-16,14.890999794006348,14.06999969482422,14.98
2019-04-17,14.920999526977539,14.050000190734865,15.005
2019-04-18,14.937000274658205,14.0600004196167,15.01
2019-04-22,14.95699977874756,14.079999923706055,15.005
2019-04-23,14.77299976348877,13.90999984741211,14.825
2019-04-24,14.89799976348877,14.0,14.94
2019-04-25,14.861000061035154,14.0,14.945
2019-04-26,15.001999855041506,14.100000381469727,15.085
2019-04-29,14.843999862670898,13.989999771118164,14.915
2019-04-30,14.899999618530273,14.020000457763672,14.945
2019-05-01,14.645000457763672,13.75,14.685
2019-05-02,14.539999961853027,13.710000038146973,14.635
2019-05-03,14.906999588012695,13.960000038146973,14.935
2019-05-06,14.857000350952148,13.979999542236328,14.925
2019-05-07,14.859999656677244,13.979999542236328,14.915
2019-05-08,14.791999816894533,13.890000343322756,14.845
2019-05-09,14.70699977874756,13.829999923706055,14.765
2019-05-10,14.72599983215332,13.84000015258789,14.775
2019-05-13,14.713000297546387,13.84000015258789,14.775
2019-05-14,14.751999855041506,13.859999656677244,14.795
2019-05-15,14.751999855041506,13.850000381469727,14.805
2019-05-16,14.479000091552734,13.649999618530273,14.565
2019-05-17,14.347999572753904,13.520000457763672,14.4
2019-05-20,14.409000396728516,13.550000190734865,14.475
2019-05-21,14.373000144958494,13.529999732971193,14.455
2019-05-22,14.413999557495115,13.539999961853027,14.455
2019-05-23,14.57699966430664,13.68000030517578,14.595
2019-05-24,14.520000457763672,13.649999618530273,14.57
2019-05-28,14.281000137329102,13.460000038146973,14.356
2019-05-29,14.371999740600586,13.520000457763672,14.425
2019-05-30,14.460000038146973,13.600000381469727,14.525
2019-05-31,14.529999732971193,13.649999618530273,14.58
2019-06-03,14.70300006866455,13.869999885559082,14.785
2019-06-04,14.732000350952148,13.890000343322756,14.825
2019-06-05,14.753999710083008,13.880000114440918,14.808
2019-06-06,14.868000030517578,13.920000076293945,14.9
2019-06-07,14.994000434875488,14.0600004196167,15.015
2019-06-10,14.604999542236328,13.779999732971193,14.695
2019-06-11,14.706000328063965,13.8100004196167,14.735
2019-06-12,14.722000122070312,13.84000015258789,14.773
2019-06-13,14.871000289916992,13.960000038146973,14.95
2019-06-14,14.781999588012695,13.90999984741211,14.88
2019-06-17,14.814000129699707,13.899999618530273,14.845
2019-06-18,14.979999542236328,14.050000190734865,15.015
2019-06-19,14.94499969482422,14.170000076293945,15.165
2019-06-20,15.468999862670898,14.449999809265135,15.425
2019-06-21,15.27299976348877,14.359999656677244,15.361
2019-06-24,15.368000030517578,14.460000038146973,15.44
2019-06-25,15.291000366210938,14.380000114440918,15.375
2019-06-26,15.282999992370605,14.31999969482422,15.26
2019-06-27,15.204999923706055,14.279999732971193,15.265
2019-06-28,15.253000259399414,14.329999923706055,15.318
2019-07-01,15.105999946594238,14.18000030517578,15.145
